code,parent_code,description,comment,level,isic_rev4_code,isic_rev4_description,mapping_type
agriculture,,crop and animal production,,0,"01","Crop and animal production, hunting and related service activities","one-to-one"
animal_production,agriculture,animal production,,1,"014","Animal production","one-to-one"
crop_production,agriculture,crop production,,1,,,"one-to-many"
manuretreatment,,treatment of manure in agriculture,,1,"0162","Support activities for animal production","one-to-many"
lagoon,manuretreatment,treatment in lagoons,,2,"0162","Support activities for animal production","one-to-many"
liquid-slurry-naturalcover,liquid-slurry,treatment as liquid slurry with natural crust cover,,3,"0162","Support activities for animal production","one-to-many"
liquid-slurry-nocover,liquid-slurry,treatment as liquid slurry without natural crust cover,,3,"0162","Support activities for animal production","one-to-many"
liquid-slurry-cover,liquid-slurry,treatment as liquid slurry with cover,,3,"0162","Support activities for animal production","one-to-many"
liquid-slurry,manuretreatment,treatment as liquid slurry (not further specified),,2,"0162","Support activities for animal production","one-to-many"
solid-storage,manuretreatment,storage of solid,,2,"0162","Support activities for animal production","one-to-many"
solid-storage-covered,solid-storage,storage of solid with covered manure pile,,3,"0162","Support activities for animal production","one-to-many"
solid-storage-bulking,solid-storage,storage of solid with bulking agent mixed with manure,,3,"0162","Support activities for animal production","one-to-many"
solid-storage-additive,solid-storage,storage of solid with additives to reduce emisions,,3,"0162","Support activities for animal production","one-to-many"
drylot,manuretreatment,treatment in drylots,,2,"0162","Support activities for animal production","one-to-many"
pasture,manuretreatment,pasture/range/paddock,,2,"0162","Support activities for animal production","one-to-many"
daily-spread,manuretreatment,daily spread,,2,"0162","Support activities for animal production","one-to-many"
digester,manuretreatment,treatment in anaerobic digester,,2,"0162","Support activities for animal production","one-to-many"
digester-lowleak-highgastight-besttech,digester,Anaerobic Digester - Low leakage - High quality gastight storage - best complete industrial technology,,3,"0162","Support activities for animal production","one-to-many"
digester-lowleak-lowgastight-hightech,digester,Anaerobic Digester - Low leakage - High quality industrial technology - low quality gastight storage technology,,3,"0162","Support activities for animal production","one-to-many"
digester-lowleak-openstorage-hightech,digester,Anaerobic Digester - Low leakage - High quality industrial technology - open storage,,3,"0162","Support activities for animal production","one-to-many"
digester-highleak-highgastight-lowtech,digester,Anaerobic Digester - High leakage - low quality technology - high quality gastight storage technology,,3,"0162","Support activities for animal production","one-to-many"
digester-highleak-lowgastight-lowtech,digester,Anaerobic Digester - High leakage - low quality technology - low quality gastight storage technology,,3,"0162","Support activities for animal production","one-to-many"
digester-highleak-openstorage-lowtech,digester,Anaerobic Digester - High leakage - low quality technology - open storage,,3,"0162","Support activities for animal production","one-to-many"
burned,manuretreatment,burned as fuel,,2,"0162","Support activities for animal production","one-to-many"
manure_other,manuretreatment,other treatment,,2,"0162","Support activities for animal production","one-to-many"
pit-short,manuretreatment,treatment in pit latrine < 1 month,,2,"0162","Support activities for animal production","one-to-many"
pit-long,manuretreatment,treatment in pit latrine > 1 month,,2,"0162","Support activities for animal production","one-to-many"
bedding,manuretreatment,cattle and swine deep bedding (bedded pack manure management system) without mixing,,2,"0162","Support activities for animal production","one-to-many"
bedding-long,bedding,cattle and swine deep bedding (bedded pack manure management system) > 1 month,,3,"0162","Support activities for animal production","one-to-many"
bedding-short,bedding,cattle and swine deep bedding (bedded pack manure management system) < 1 month,,3,"0162","Support activities for animal production","one-to-many"
bedding-mixing,bedding,cattle and swine deep bedding (bedded pack manure management system) with mixing,,3,"0162","Support activities for animal production","one-to-many"
composting-vessel,manuretreatment,Composting typically in an enclosed channel with forced aeration and continuous mixing,,2,"0162","Support activities for animal production","one-to-many"
composting-pile,manuretreatment,Composting in piles with forced aeration but no mixing.,,2,"0162","Support activities for animal production","one-to-many"
composting-intensive,manuretreatment,Composting in windrows with regular turning for mixing and aeration.,,2,"0162","Support activities for animal production","one-to-many"
composting-passive,manuretreatment,Composting in windrows with infrequent turning for mixing and aeration.,,2,"0162","Support activities for animal production","one-to-many"
poultry-litter,manuretreatment,Poultry manure with litter,,2,"0162","Support activities for animal production","one-to-many"
