code,description
hfcs,hydrofluorocarbons
hfc-23,Trifluoromethane
hfc-32,Difluoromethane
hfc-41,Fluoromethane
hfc-125,Pentafluoroethane
hfc-134a,"1,1,1,2-Tetrafluoroethane"
hfc-143a,"1,1,1-Trifluoroethane"
hfc-152a,"1,1-Difluoroethane"
hfc-227ea,"1,1,1,2,3,3,3-Heptafluoropropane"
hfc-236fa,"1,1,1,3,3,3-Hexafluoropropane"
hfc-245fa,"1,1,1,3,3-Pentafluoropropane"
hfc-365mfc,"1,1,1,3,3-Pentafluorobutane"
hfc-43-10mee,"1,1,1,2,3,4,4,5,5,5-Decafluoropentane"
pfcs,perfluorocarbons
pfc-14,Perfluoromethane
pfc-116,Perfluoroethane
pfc-218,Perfluoropropane
pfc-3-1-10,Perfluorobutane
pfc-4-1-12,Perfluoropentane
pfc-5-1-14,Perfluorohexane
pfc-7-1-18,Perfluorocyclohexane
pfc-9-1-18,Perfluorodecalin
sf6,sulfur hexafluoride
nf3,nitrogen trifluoride
CO2,carbon dioxide
CH4,methane
