cancer_type,original_label,new_label,Program Category
Bladder,cancer_state_0_0.1,Hypoxic Glycolytic Adaptive,Glycolytic_Hypoxic Metabolism
Bladder,cancer_state_1_0.1,TNF-Activated Stress,Androgen Signaling_Keratinization
Bladder,cancer_state_10_1,Translational Proteostasis,Proteostasis_Translation_Starvation
Bladder,cancer_state_13_0.4,Interferon Immune-Active,Immune_Inflammatory_Interferon
Bladder,cancer_state_14_0.4,Proliferative I,Cell Cycle_Proliferative
Bladder,cancer_state_14_0.9,Inflammatory Mesenchymal,Immune_Inflammatory_Interferon
Bladder,cancer_state_15_0.7,Proinflammatory Mesenchymal,Inflammatory_Stress_P53-Apoptosis
Bladder,cancer_state_2_0.1,Proteostasis Stress,Proteostasis_Translation_Starvation
Bladder,cancer_state_2_0.2,ER-Stress Differentiation,Inflammatory_Stress_P53-Apoptosis
Bladder,cancer_state_20_0.6,Antigen-Presenting Immune,Immune_Inflammatory_Interferon
Bladder,cancer_state_20_0.7,Proliferative II,Cell Cycle_Proliferative
Bladder,cancer_state_3_0.4,Protein-Synthesis Proteostasis,Proteostasis_Translation_Starvation
Bladder,cancer_state_5_0.5,Hypoxic Keratinizing,Androgen Signaling_Keratinization
Bladder,cancer_state_6_0.1,Proliferative III,Cell Cycle_Proliferative
Bladder,cancer_state_6_0.2,Interferon Adaptive Immune,Immune_Inflammatory_Interferon
Bladder,cancer_state_6_0.5,Proteostasis Stress Hypoxic,Proteostasis_Translation_Starvation
Bladder,cancer_state_7_0.2,Inflammatory Mesenchymal Immune,Immune_Inflammatory_Interferon
Bladder,cancer_state_9_1,Interferon Lymphoid Immune,Immune_Inflammatory_Interferon
Breast,cancer_state_1_0.1,Proliferative I,Cell Cycle_Proliferative
Breast,cancer_state_1_0.2,OXPHOS-High Maintenance,Metabolism of Macromolecules_Xenobiotic Detoxification
Breast,cancer_state_1_0.4,Inflammatory KRAS EMT-Like,Inflammatory_EMT_KRAS Signaling
Breast,cancer_state_10_0.2,Proliferative II,Cell Cycle_Proliferative
Breast,cancer_state_13_1,Inflammatory ER-Low,Immune_Inflammatory_Interferon
Breast,cancer_state_16_0.9,Hormone-Responsive Luminal,Glycosylation_Complement_Metabolic
Breast,cancer_state_18_1,Hypoxic Glycolytic EMT,Glycolytic_Hypoxic Metabolism
Breast,cancer_state_2_0.4,Hypoxic Inflammatory Hormone,Androgen Signaling_Keratinization
Breast,cancer_state_21_0.9,Starvation Translation-Active,Proteostasis_Translation_Starvation
Breast,cancer_state_24_0.6,Interferon-Activated Immune,Immune_Inflammatory_Interferon
Breast,cancer_state_3_0.3,Proliferative III,Cell Cycle_Proliferative
Breast,cancer_state_4_0.2,Estrogen NF-κB-Active,Androgen Signaling_Keratinization
Breast,cancer_state_4_0.3,Estrogen Lipid-Metabolic,Metabolism of Macromolecules_Xenobiotic Detoxification
Breast,cancer_state_5_0.2,OXPHOS-High Stress,Proteostasis_Translation_Starvation
Breast,cancer_state_5_0.3,OXPHOS Translation-High,OXPHOS-Proteostasis_Stress-Adaptive
Breast,cancer_state_5_0.8,Translation-Active Metabolic,OXPHOS-Proteostasis_Stress-Adaptive
Breast,cancer_state_6_0.2,Stress Translation-Active,Proteostasis_Translation_Starvation
Breast,cancer_state_6_0.5,Proliferative IV,Cell Cycle_Proliferative
Breast,cancer_state_6_0.8,ECM-Remodeling,EMT_Mesenchymal_ECM Remodeling
Breast,cancer_state_8_0.2,Proliferative V,Cell Cycle_Proliferative
Breast,cancer_state_8_0.9,Lipid-Metabolic,Metabolism of Macromolecules_Xenobiotic Detoxification
Breast,cancer_state_9_0.2,Proliferative VI,Cell Cycle_Proliferative
Breast,cancer_state_9_0.3,Inflammatory Hypoxic Stress,Inflammatory_Stress_P53-Apoptosis
Breast,cancer_state_9_0.7,Proliferative VII,Cell Cycle_Proliferative
Colorectal,cancer_state_0_0.4,KRAS Inflammatory Mesenchymal,Inflammatory_EMT_KRAS Signaling
Colorectal,cancer_state_0_0.6,Innate Immune Stress,Hypoxic_Inflammatory_Proteostatis Stress
Colorectal,cancer_state_1_0.2,Translation-Active Proteostasis I,Proteostasis_Translation_Starvation
Colorectal,cancer_state_1_0.5,Translation-Active Proteostasis II,Proteostasis_Translation_Starvation
