,Revenue,Net Income Common,Operating Cash Flow Margin,EPS (Diluted),"Shares (Diluted, Weighted)",Operating Income,EBITDA Margin
2024,4045000000.0,-71000000.0,0.1533,0.26,310160000.0,163000000.0,0.0
2023,4197000000.0,96000000.0,-0.0293,0.16,305135000.0,84000000.0,0.0
2022,3626000000.0,361000000.0,0.3235,0.83,318629000.0,445000000.0,0.0
2021,2800000000.0,681000000.0,0.3425,1.79,365180000.0,899000000.0,0.0
2020,2801000000.0,687000000.0,0.4052,1.82,377101000.0,856000000.0,0.0
2019,2929000000.0,378000000.0,0.3131,0.99,395395000.0,487000000.0,0.0
2018,2706000000.0,290000000.0,0.2979,0.7,427680000.0,368000000.0,0.0
2017,2475000000.0,181000000.0,0.2853,0.41,455350000.0,410000000.0,0.0
2016,2459000000.0,248000000.0,0.3977,0.52,482182000.0,380000000.0,0.0
2015,2480000000.0,-952000000.0,0.4601,-1.97,482873000.0,431000000.0,0.0
