Character,Unicode,Name,Remove,Replacement
�,\ufffd,Replacement Character,True,
,\u0000,NULL,True,
,\u001a,Substitute,True,
,\u001c,File Separator,True,
,\u001d,Group Separator,True,
,\u001e,Record Separator,True,
,\u001f,Unit Separator,True,
,\u2028,Line Separator,True, 
,\u2029,Paragraph Separator,True,"
"
,\u200b,Zero Width Space,True,
,\u200c,Zero Width Non-Joiner,True,
,\u200d,Zero Width Joiner,True,
,\u200e,Left-to-Right Mark,True,
,\u200f,Right-to-Left Mark,True,
,\u202a,Left-to-Right Embedding,True,
,\u202b,Right-to-Left Embedding,True,
,\u202c,Pop Directional Formatting,True,
,\u202d,Left-to-Right Override,True,
,\u202e,Right-to-Left Override,True,
⁡,\u2061,Function Application,True,
⁢,\u2062,Invisible Times,True,
⁣,\u2063,Invisible Separator,True,
⁤,\u2064,Invisible Plus,True,
,\u2066,Left-to-Right Isolate,True,
,\u2067,Right-to-Left Isolate,True,
,\u2068,First Strong Isolate,True,
,\u2069,Pop Directional Isolate,True,
﻿,\ufeff,BOM (in middle of file),True,
',\u2018,Left Single Quotation Mark,False,'
',\u2019,Right Single Quotation Mark,False,'
", ""\u201c"", ""Left Double Quotation Mark"", ""False"", """"""],
        [",\u201d,Right Double Quotation Mark,False,""""
‹,\u2039,Single Left-Pointing Angle Quotation Mark,False,<
›,\u203a,Single Right-Pointing Angle Quotation Mark,False,>
«,\u00ab,Left-Pointing Double Angle Quotation Mark,False,<<
»,\u00bb,Right-Pointing Double Angle Quotation Mark,False,>>
–,\u2013,En Dash,False,-
—,\u2014,Em Dash,False,--
…,\u2026,Horizontal Ellipsis,False,...
′,\u2032,Prime,False,'
″,\u2033,Double Prime,False,""""
‐,\u2010,Hyphen,False,-
‑,\u2011,Non-Breaking Hyphen,False,-
‒,\u2012,Figure Dash,False,-
•,\u2022,Bullet,False,*
·,\u00b7,Middle Dot,False,.
á,\u00e1,Latin Small Letter A with Acute,True,a
à,\u00e0,Latin Small Letter A with Grave,True,a
â,\u00e2,Latin Small Letter A with Circumflex,True,a
ä,\u00e4,Latin Small Letter A with Diaeresis,False,a
ã,\u00e3,Latin Small Letter A with Tilde,False,a
å,\u00e5,Latin Small Letter A with Ring Above,False,a
ç,\u00e7,Latin Small Letter C with Cedilla,False,c
é,\u00e9,Latin Small Letter E with Acute,True,e
è,\u00e8,Latin Small Letter E with Grave,True,e
ê,\u00ea,Latin Small Letter E with Circumflex,True,e
ë,\u00eb,Latin Small Letter E with Diaeresis,False,e
í,\u00ed,Latin Small Letter I with Acute,False,i
ì,\u00ec,Latin Small Letter I with Grave,False,i
î,\u00ee,Latin Small Letter I with Circumflex,False,i
ï,\u00ef,Latin Small Letter I with Diaeresis,False,i
ñ,\u00f1,Latin Small Letter N with Tilde,False,n
ó,\u00f3,Latin Small Letter O with Acute,False,o
ò,\u00f2,Latin Small Letter O with Grave,False,o
ô,\u00f4,Latin Small Letter O with Circumflex,False,o
ö,\u00f6,Latin Small Letter O with Diaeresis,False,o
õ,\u00f5,Latin Small Letter O with Tilde,False,o
ø,\u00f8,Latin Small Letter O with Stroke,False,o
ú,\u00fa,Latin Small Letter U with Acute,False,u
ù,\u00f9,Latin Small Letter U with Grave,False,u
û,\u00fb,Latin Small Letter U with Circumflex,False,u
ü,\u00fc,Latin Small Letter U with Diaeresis,False,u
ý,\u00fd,Latin Small Letter Y with Acute,False,y
ÿ,\u00ff,Latin Small Letter Y with Diaeresis,False,y
ß,\u00df,Latin Small Letter Sharp S,False,ss
æ,\u00e6,Latin Small Letter AE,False,ae
œ,\u0153,Latin Small Ligature OE,False,oe
Á,\u00c1,Latin Capital Letter A with Acute,False,A
À,\u00c0,Latin Capital Letter A with Grave,False,A
Â,\u00c2,Latin Capital Letter A with Circumflex,False,A
Ä,\u00c4,Latin Capital Letter A with Diaeresis,False,A
Ã,\u00c3,Latin Capital Letter A with Tilde,False,A
Å,\u00c5,Latin Capital Letter A with Ring Above,False,A
Ç,\u00c7,Latin Capital Letter C with Cedilla,False,C
É,\u00c9,Latin Capital Letter E with Acute,False,E
È,\u00c8,Latin Capital Letter E with Grave,False,E
Ê,\u00ca,Latin Capital Letter E with Circumflex,False,E
Ë,\u00cb,Latin Capital Letter E with Diaeresis,False,E
Í,\u00cd,Latin Capital Letter I with Acute,False,I
Ì,\u00cc,Latin Capital Letter I with Grave,False,I
Î,\u00ce,Latin Capital Letter I with Circumflex,False,I
Ï,\u00cf,Latin Capital Letter I with Diaeresis,False,I
Ñ,\u00d1,Latin Capital Letter N with Tilde,False,N
Ó,\u00d3,Latin Capital Letter O with Acute,False,O
Ò,\u00d2,Latin Capital Letter O with Grave,False,O
Ô,\u00d4,Latin Capital Letter O with Circumflex,False,O
Ö,\u00d6,Latin Capital Letter O with Diaeresis,False,O
Õ,\u00d5,Latin Capital Letter O with Tilde,False,O
Ø,\u00d8,Latin Capital Letter O with Stroke,False,O
Ú,\u00da,Latin Capital Letter U with Acute,False,U
Ù,\u00d9,Latin Capital Letter U with Grave,False,U
Û,\u00db,Latin Capital Letter U with Circumflex,False,U
Ü,\u00dc,Latin Capital Letter U with Diaeresis,False,U
Ý,\u00dd,Latin Capital Letter Y with Acute,False,Y
Æ,\u00c6,Latin Capital Letter AE,False,AE
Œ,\u0152,Latin Capital Ligature OE,False,OE
ă,\u0103,Latin Small Letter A with Breve,False,a
ą,\u0105,Latin Small Letter A with Ogonek,False,a
ć,\u0107,Latin Small Letter C with Acute,False,c
č,\u010d,Latin Small Letter C with Caron,False,c
đ,\u0111,Latin Small Letter D with Stroke,False,d
ę,\u0119,Latin Small Letter E with Ogonek,False,e
ě,\u011b,Latin Small Letter E with Caron,False,e
ğ,\u011f,Latin Small Letter G with Breve,False,g
ı,\u0131,Latin Small Letter Dotless I,False,i
ł,\u0142,Latin Small Letter L with Stroke,False,l
ń,\u0144,Latin Small Letter N with Acute,False,n
ň,\u0148,Latin Small Letter N with Caron,False,n
ő,\u0151,Latin Small Letter O with Double Acute,False,o
ř,\u0159,Latin Small Letter R with Caron,False,r
ś,\u015b,Latin Small Letter S with Acute,False,s
š,\u0161,Latin Small Letter S with Caron,False,s
ť,\u0165,Latin Small Letter T with Caron,False,t
ů,\u016f,Latin Small Letter U with Ring Above,False,u
ű,\u0171,Latin Small Letter U with Double Acute,False,u
ź,\u017a,Latin Small Letter Z with Acute,False,z
ż,\u017c,Latin Small Letter Z with Dot Above,False,z
ž,\u017e,Latin Small Letter Z with Caron,False,z
